sample	cluster
SRR6113361	3
SRR6113362	3
SRR6113363	3
SRR6113364	3
SRR6113365	3
SRR6113367	3
SRR6113368	3
SRR6113369	4
SRR6113372	4
SRR6113373	4
SRR6113374	4
SRR6113375	4
SRR6113377	2
SRR6113378	2
SRR6113379	2
SRR6113380	2
SRR6113381	2
SRR6113382	2
SRR6113383	2
SRR6113384	2
SRR6113385	2
SRR6113386	2
SRR6113387	2
SRR6113388	2
SRR6113389	2
SRR6113390	2
SRR6113391	2
SRR6113392	2
SRR6113393	2
SRR6113394	2
SRR6113395	2
SRR6113396	2
SRR6113397	2
SRR6113398	2
SRR6113399	2
SRR6113400	2
SRR6113401	2
SRR6113402	2
SRR6113403	2
SRR6113404	2
SRR6113405	2
SRR6113406	2
SRR6113407	2
SRR6113408	2
SRR6113410	2
SRR6113411	2
SRR6113412	2
SRR6113413	2
SRR6113414	2
SRR6113415	2
SRR6113416	2
SRR6113417	2
SRR6113418	2
SRR6113419	2
SRR6113420	2
SRR6113421	2
SRR6113422	2
SRR6113423	2
SRR6113424	2
SRR6113425	2
SRR6113426	2
SRR6113427	2
SRR6113428	2
SRR6113429	2
SRR6113430	2
SRR6113431	2
SRR6113432	2
SRR6113433	6
SRR6113434	6
SRR6113435	6
SRR6113437	6
SRR6113438	6
SRR6113439	6
SRR6113440	6
SRR6113441	0
SRR6113442	0
SRR6113443	0
SRR6113444	0
SRR6113446	0
SRR6113447	0
SRR6113448	0
SRR6113449	2
SRR6113450	2
SRR6113451	2
SRR6113452	2
SRR6113453	2
SRR6113454	2
SRR6113455	2
SRR6113456	2
SRR6113457	2
SRR6113458	2
SRR6113459	2
SRR6113460	2
SRR6113461	7
SRR6113462	2
SRR6113463	2
SRR6113464	7
SRR6113465	0
SRR6113466	0
SRR6113467	0
SRR6113468	0
SRR6113469	0
SRR6113470	0
SRR6113471	0
SRR6113472	0
SRR6113473	0
SRR6113474	0
SRR6113475	0
SRR6113476	0
SRR6113477	0
SRR6113478	0
SRR6113479	0
SRR6113480	0
SRR6113481	0
SRR6113482	0
SRR6113483	0
SRR6113484	0
